"V1","V2","V3"
"L",196.0369,71.5361
"L",197.8189,71.21
"L",197.8189,72.43287
"L",196.0369,72.10677
"L",194.8218,71.8622
"L",194.1738,74.30795
"L",193.6068,76.75371
"L",194.8218,78.54726
"L",197.4949,78.54726
"L",199.358,78.54726
"L",203.0031,78.87336
"L",205.1091,81.8898
"L",205.4331,83.76488
"L",205.4331,85.88453
"L",207.5392,88.00419
"L",210.2933,88.65639
"L",211.5083,90.20537
"L",212.7233,91.10214
"L",213.6144,93.2218
"L",215.1534,94.77078
"L",216.3684,95.66755
"L",217.5835,96.89043
"L",218.7985,96.89043
"L",219.6895,98.1133
"L",221.2286,100.233
"L",220.5805,102.6787
"L",220.0135,104.5538
"L",220.3375,107.5702
"L",220.5805,109.4453
"L",221.2286,112.2172
"L",221.2286,114.0107
"L",222.1196,116.1304
"L",223.0106,118.3316
"L",222.7676,119.799
"L",222.4436,121.6741
"L",222.4436,123.4676
"L",222.4436,124.6905
"L",227.3037,124.6905
"L",230.6248,123.7937
