"V1","V2","V3","V4"
235728,208253.8,236052,208498.4
236052,208498.4,236943,209721.3
236943,209721.3,237510,210373.5
237510,210373.5,239049,210373.5
239049,210373.5,238158,209476.7
238158,209476.7,237510,207927.7
237510,207927.7,237510,205808.1
237510,205808.1,238482,204259.1
238482,204259.1,239940.1,203933
239940.1,203933,240912.1,203036.2
240912.1,203036.2,240588.1,202384
240588.1,202384,239373.1,202710.1
239373.1,202710.1,238158,202710.1
238158,202710.1,236943,201813.4
236943,201813.4,238158,199938.3
238158,199938.3,238482,198715.4
238482,198715.4,240588.1,197492.5
240588.1,197492.5,242127.1,196269.6
242127.1,196269.6,243909.2,197247.9
243909.2,197247.9,245772.2,197247.9
245772.2,197247.9,248202.3,197247.9
248202.3,197247.9,249417.3,197247.9
249417.3,197247.9,250308.3,195699
250308.3,195699,251523.4,194802.2
251523.4,194802.2,253953.4,194476.1
253953.4,194476.1,256059.5,194476.1
256059.5,194476.1,256383.5,197818.6
256383.5,197818.6,258489.6,197818.6
258489.6,197818.6,257922.6,195372.9
257922.6,195372.9,255492.5,194476.1
255492.5,194476.1,253629.4,193579.3
253629.4,193579.3,251847.4,192927.1
251847.4,192927.1,250632.4,192030.3
250632.4,192030.3,248445.3,192030.3
248445.3,192030.3,246663.2,192927.1
246663.2,192927.1,245124.2,193253.2
245124.2,193253.2,243909.2,192356.4
243909.2,192356.4,243342.2,190807.5
243342.2,190807.5,241479.1,190155.3
241479.1,190155.3,241479.1,188932.4
241479.1,188932.4,242127.1,187464.9
242127.1,187464.9,241479.1,184693.1
241479.1,184693.1,241479.1,184040.9
241479.1,184040.9,242694.1,183796.3
242694.1,183796.3,244233.2,183470.2
244233.2,183470.2,246015.2,182573.4
246015.2,182573.4,247878.3,181921.2
247878.3,181921.2,249093.3,181921.2
249093.3,181921.2,250632.4,182247.3
250632.4,182247.3,250632.4,184367
250632.4,184367,252414.4,185589.8
252414.4,185589.8,254520.5,185263.7
254520.5,185263.7,256707.5,184367
256707.5,184367,258489.6,184367
258489.6,184367,260352.6,184693.1
260352.6,184693.1,261567.7,184693.1
261567.7,184693.1,262458.7,184693.1
262458.7,184693.1,262458.7,185589.8
262458.7,185589.8,263349.7,188035.6
263349.7,188035.6,264240.7,188687.8
264240.7,188687.8,265779.8,188687.8
265779.8,188687.8,266994.8,188932.4
266994.8,188932.4,268857.8,188932.4
268857.8,188932.4,270315.9,189258.5
270315.9,189258.5,271854.9,189910.7
271854.9,189910.7,273394,190155.3
273394,190155.3,272746,188687.8
272746,188687.8,274609,187464.9
274609,187464.9,276148,186242
276148,186242,276391.1,185182.2
276391.1,185182.2,278254.1,183959.3
278254.1,183959.3,277930.1,182410.4
277930.1,182410.4,278254.1,180942.9
278254.1,180942.9,278821.1,179393.9
278821.1,179393.9,278821.1,178171
278821.1,178171,278821.1,177274.3
278821.1,177274.3,279793.1,176296
279793.1,176296,280684.2,175399.2
280684.2,175399.2,281575.2,174502.4
281575.2,174502.4,282466.2,173605.6
282466.2,173605.6,283681.3,173279.5
283681.3,173279.5,285868.3,173279.5
285868.3,173279.5,287326.3,172382.8
287326.3,172382.8,289189.4,169610.9
289189.4,169610.9,291295.5,168061.9
291295.5,168061.9,291619.5,166268.4
291619.5,166268.4,293401.5,165045.5
293401.5,165045.5,295588.6,164719.4
295588.6,164719.4,297694.6,164393.3
297694.6,164393.3,299476.7,164393.3
299476.7,164393.3,301663.7,163822.6
301663.7,163822.6,303769.8,163822.6
303769.8,163822.6,306199.9,162844.3
306199.9,162844.3,307981.9,162844.3
307981.9,162844.3,309845,162844.3
309845,162844.3,311627,163170.4
311627,163170.4,315029.1,163496.5
315029.1,163496.5,316487.1,164067.2
316487.1,164067.2,317459.2,164719.4
317459.2,164719.4,317459.2,166512.9
317459.2,166512.9,318674.2,169284.8
318674.2,169284.8,319889.2,171159.9
319889.2,171159.9,321671.3,172627.3
321671.3,172627.3,323534.3,175399.2
323534.3,175399.2,325316.4,175725.3
325316.4,175725.3,327422.4,177518.8
327422.4,177518.8,329609.5,178171
329609.5,178171,331715.5,180290.7
331715.5,180290.7,331715.5,181839.7
331715.5,181839.7,332039.6,182165.8
332039.6,182165.8,334469.6,180290.7
334469.6,180290.7,336899.7,179964.6
336899.7,179964.6,338681.7,180616.8
338681.7,180616.8,341111.8,180616.8
341111.8,180616.8,342326.8,181839.7
342326.8,181839.7,343541.9,182165.8
343541.9,182165.8,344432.9,182736.5
344432.9,182736.5,345971.9,183388.7
345971.9,183388.7,347511,183633.2
347511,183633.2,349050,183959.3
349050,183959.3,349617,184856.1
349617,184856.1,350832.1,186405.1
350832.1,186405.1,353586.1,188280.2
353586.1,188280.2,353586.1,188280.2
